mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.009995698928833008,2.384185791015625e-07,0.0,0.0,relu,0.001,"(25, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (25, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3997
0.009996771812438965,5.960464477539062e-07,0.0,0.0,relu,0.001,"(0, 150)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 150), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3996
0.009498119354248047,0.0005025863647460938,0.0,0.0,relu,0.05,"(0, 200)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 200), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3995
0.008997082710266113,5.960464477539062e-07,0.0,0.0,relu,0.05,"(200, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (200, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3994
0.00949704647064209,0.0005003213882446289,0.0,0.0,relu,0.001,"(0, 11)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 11), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3993
0.009996891021728516,0.0,0.0,0.0,relu,0.001,"(0, 25)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 25), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3992
0.009497404098510742,0.0004987716674804688,0.0,0.0,relu,0.5,"(150, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (150, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3991
0.009496450424194336,0.0005002021789550781,0.0,0.0,relu,0.001,"(0, 15)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 15), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3990
0.010496735572814941,0.0005005598068237305,0.0,0.0,relu,0.5,"(0, 200)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 200), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3989
0.009496212005615234,0.0004992485046386719,0.0,0.0,relu,0.5,"(0, 150)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 150), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3988
